,model,confidence
166,Elo_2.pdb,0.8387948148410184
167,default_comp_2.pdb,0.8315971764831979
168,default_multimer_1.pdb,0.8369898214042868
169,default_comp_1.pdb,0.8350737555304162
170,default_struct_2.pdb,0.8429667086754437
171,default_uniclust30_1.pdb,0.8379998612236097
172,default_comp_3.pdb,0.8302719186735389
173,spec_uniprot_sto_3.pdb,0.8415772917312607
174,spec_uniprot_sto_v2_3.pdb,0.8426373835627835
175,default_multimer_2.pdb,0.8300352838946873
176,default_pdb70_2.pdb,0.8433796924586157
177,spec_iter_uniref_sto_4.pdb,0.8413534498232
178,iter_2_2.pdb,0.8539665012425702
179,default_pdb_1.pdb,0.8398282866668386
180,default_img_v2_3.pdb,0.859249280272786
181,Elo_4.pdb,0.8305925735339673
182,default_pdb_v2_4.pdb,0.8356265346268275
183,default_multimer_0.pdb,0.8423319989491056
184,default_multimer_3.pdb,0.8268916737495545
185,default_pdb_4.pdb,0.8277618574002499
186,default_uniclust30_3.pdb,0.8237498098506691
187,spec_struct_4.pdb,0.8543896214750246
188,default_uniclust30_4.pdb,0.8235071322417442
189,spec_af_v2_0.pdb,0.8274815853968851
190,default_af_v2_1.pdb,0.8582392588907325
191,default_uniclust30_2.pdb,0.824237769243291
192,default_af_v2_2.pdb,0.8500046453437173
193,default_pdb70_4.pdb,0.8274892215703944
194,default_multimer_4.pdb,0.8263160358240904
195,default_af_v2_4.pdb,0.8367720371192733
196,default_af_v2_3.pdb,0.8486236681701778
197,spec_uniref_a3m_v2_3.pdb,0.8578504473388969
198,spec_af_v2_2.pdb,0.8211582087746851
199,spec_af_v2_1.pdb,0.8261672962161631
200,spec_af_v2_3.pdb,0.8196481116187726
201,default_af_v2_0.pdb,0.858444861993677
202,spec_af_2.pdb,0.8088577727845079
203,spec_af_3.pdb,0.8084353978417481
204,spec_af_0.pdb,0.8111946031793889
205,spec_af_1.pdb,0.8093000438194713
206,iter_2_3.pdb,0.8535111964630316
207,spec_af_v2_4.pdb,0.8163508995011192
208,spec_af_4.pdb,0.7890786092628026
209,default_af_0.pdb,0.7390233338919385
210,default_comp_4.pdb,0.828200563490685
211,default_af_1.pdb,0.6552908530625401
212,default_af_2.pdb,0.6305014101454323
213,default_af_3.pdb,0.1753296794414034
214,default_af_4.pdb,0.1687065919635214
