0.674,0.677,0.96,0.97,0.00,0.543,0.671,0.626,0.675,0.951,0.00,0.672,0.646,0.625,0.618,0.675,0.632,0.00,0.671,0.751,0.00,0.676,0.614,0.687,0.672,0.675,0.674,0.677,0.675,0.668,0.679,0.00,0.00,0.657,0.755,0.676,0.677,0.00,0.682,0.00,0.673,0.633,0.96,0.00,0.975,0.945,0.00,0.674,0.00,0.681,0.9,0.543,0.00,0.675,0.00,0.606,0.00,0.00,0.644,0.72,0.00,0.683,0.675,0.606,0.00,0.959,0.612,0.675,0.746,0.663,0.671,0.668,0.676,0.677,0.673,0.676,0.673,0.676,0.608,0.00,0.00,0.676,0.672,0.00,0.975,0.00,0.676,0.961
0.617,0.616,0.616,0.622,0.00,0.54,0.614,0.604,0.612,0.599,0.00,0.618,0.00,0.626,0.616,0.626,0.773,0.00,0.614,0.614,0.00,0.615,0.719,0.616,0.616,0.644,0.614,0.614,0.615,0.616,0.617,0.00,0.00,0.615,0.615,0.62,0.616,0.00,0.616,0.00,0.616,0.615,0.616,0.607,0.615,0.617,0.00,0.616,0.00,0.00,0.00,0.54,0.00,0.616,0.00,0.094,0.00,0.00,0.616,0.00,0.00,0.614,0.617,0.094,0.00,0.621,0.615,0.616,0.00,0.63,0.614,0.616,0.653,0.616,0.616,0.653,0.653,0.615,0.608,0.00,0.00,0.615,0.612,0.00,0.608,0.00,0.647,0.63
0.98,0.979,0.966,0.979,0.00,0.52,0.982,0.589,0.92,0.952,0.00,0.98,0.834,0.596,0.651,0.978,0.64,0.00,0.982,0.64,0.00,0.976,0.611,0.976,0.98,0.622,0.978,0.976,0.684,0.979,0.978,0.00,0.00,0.98,0.00,0.978,0.979,0.00,0.772,0.00,0.975,0.975,0.966,0.934,0.977,0.972,0.00,0.978,0.00,0.976,0.979,0.52,0.00,0.979,0.00,0.596,0.00,0.00,0.979,0.978,0.00,0.967,0.972,0.596,0.00,0.98,0.975,0.979,0.00,0.717,0.982,0.979,0.706,0.979,0.978,0.706,0.974,0.979,0.631,0.00,0.00,0.979,0.946,0.00,0.972,0.00,0.613,0.98
0.681,0.684,0.682,0.992,0.00,0.494,0.687,0.611,0.671,0.772,0.00,0.681,0.859,0.674,0.938,0.705,0.918,0.00,0.687,0.918,0.00,0.682,0.616,0.712,0.681,0.628,0.679,0.679,0.632,0.68,0.705,0.00,0.00,0.659,0.62,0.993,0.682,0.00,0.677,0.00,0.987,0.627,0.682,0.662,0.984,0.896,0.00,0.68,0.00,0.682,0.683,0.494,0.00,0.685,0.00,0.622,0.00,0.00,0.682,0.68,0.00,0.681,0.682,0.622,0.00,0.992,0.627,0.685,0.632,0.68,0.687,0.68,0.628,0.684,0.986,0.628,0.9,0.679,0.691,0.00,0.00,0.679,0.68,0.00,0.672,0.00,0.621,0.671
0.935,0.948,0.942,0.94,0.00,0.00,0.952,0.504,0.955,0.899,0.943,0.935,0.785,0.948,0.93,0.947,0.94,0.00,0.952,0.526,0.00,0.947,0.89,0.948,0.935,0.547,0.943,0.946,0.927,0.94,0.947,0.00,0.00,0.95,0.937,0.95,0.947,0.00,0.61,0.00,0.939,0.934,0.942,0.775,0.934,0.943,0.961,0.953,0.00,0.866,0.938,0.00,0.00,0.948,0.00,0.362,0.00,0.00,0.948,0.961,0.00,0.959,0.94,0.362,0.00,0.943,0.934,0.948,0.00,0.522,0.952,0.94,0.951,0.948,0.939,0.951,0.936,0.936,0.886,0.00,0.00,0.936,0.946,0.00,0.94,0.00,0.945,0.95
0.796,0.798,0.788,0.00,0.00,0.00,0.795,0.00,0.796,0.795,0.794,0.798,0.57,0.799,0.796,0.854,0.793,0.00,0.795,0.796,0.00,0.796,0.805,0.85,0.795,0.855,0.796,0.802,0.803,0.803,0.854,0.00,0.00,0.793,0.00,0.796,0.796,0.797,0.572,0.00,0.793,0.792,0.788,0.77,0.797,0.794,0.798,0.796,0.00,0.566,0.846,0.00,0.00,0.854,0.00,0.326,0.00,0.00,0.807,0.798,0.00,0.799,0.799,0.326,0.00,0.793,0.792,0.854,0.00,0.00,0.795,0.803,0.798,0.798,0.797,0.798,0.795,0.797,0.319,0.00,0.00,0.797,0.802,0.00,0.799,0.00,0.85,0.795
0.747,0.774,0.811,0.765,0.00,0.00,0.753,0.712,0.763,0.711,0.00,0.747,0.563,0.738,0.00,0.74,0.789,0.00,0.753,0.789,0.00,0.763,0.758,0.792,0.739,0.582,0.744,0.778,0.82,0.787,0.744,0.00,0.00,0.728,0.00,0.747,0.763,0.00,0.00,0.00,0.803,0.715,0.811,0.569,0.791,0.797,0.786,0.752,0.00,0.792,0.79,0.00,0.00,0.744,0.00,0.358,0.00,0.00,0.792,0.786,0.00,0.735,0.747,0.358,0.00,0.789,0.715,0.744,0.00,0.775,0.753,0.787,0.768,0.774,0.00,0.768,0.77,0.778,0.768,0.00,0.00,0.778,0.751,0.00,0.748,0.00,0.771,0.745
0.801,0.581,0.839,0.802,0.00,0.00,0.608,0.758,0.611,0.791,0.00,0.803,0.635,0.524,0.00,0.595,0.806,0.00,0.608,0.806,0.00,0.524,0.783,0.803,0.803,0.587,0.595,0.627,0.813,0.806,0.672,0.00,0.00,0.796,0.759,0.61,0.524,0.00,0.451,0.00,0.807,0.611,0.839,0.789,0.823,0.806,0.553,0.526,0.00,0.783,0.812,0.00,0.00,0.802,0.00,0.356,0.00,0.00,0.803,0.553,0.00,0.529,0.801,0.356,0.00,0.808,0.611,0.802,0.00,0.797,0.608,0.806,0.549,0.581,0.807,0.549,0.8,0.608,0.602,0.00,0.00,0.608,0.62,0.00,0.531,0.00,0.801,0.769
0.936,0.935,0.954,0.834,0.00,0.00,0.936,0.759,0.951,0.955,0.00,0.936,0.942,0.931,0.00,0.703,0.98,0.00,0.936,0.981,0.00,0.935,0.774,0.948,0.934,0.845,0.696,0.899,0.823,0.96,0.696,0.00,0.00,0.901,0.761,0.933,0.935,0.00,0.446,0.00,0.976,0.887,0.954,0.965,0.93,0.924,0.924,0.947,0.00,0.932,0.96,0.00,0.00,0.948,0.00,0.313,0.00,0.00,0.948,0.924,0.00,0.939,0.922,0.313,0.00,0.942,0.887,0.948,0.00,0.806,0.936,0.96,0.795,0.935,0.976,0.795,0.946,0.902,0.814,0.00,0.00,0.902,0.904,0.00,0.927,0.00,0.897,0.961
0.94,0.153,0.941,0.00,0.941,0.00,0.939,0.625,0.941,0.897,0.00,0.941,0.00,0.918,0.154,0.891,0.93,0.916,0.939,0.926,0.00,0.153,0.941,0.00,0.941,0.906,0.933,0.94,0.935,0.00,0.933,0.939,0.00,0.919,0.00,0.00,0.153,0.943,0.00,0.939,0.00,0.855,0.941,0.936,0.00,0.897,0.932,0.941,0.941,0.372,0.941,0.00,0.00,0.94,0.939,0.149,0.00,0.939,0.944,0.932,0.00,0.942,0.94,0.149,0.00,0.945,0.855,0.94,0.00,0.933,0.939,0.00,0.00,0.153,0.943,0.00,0.939,0.919,0.763,0.939,0.00,0.919,0.932,0.00,0.00,0.00,0.931,0.941
0.918,0.148,0.919,0.00,0.919,0.00,0.914,0.271,0.914,0.868,0.00,0.918,0.00,0.895,0.15,0.576,0.907,0.892,0.914,0.895,0.00,0.148,0.921,0.00,0.918,0.884,0.911,0.921,0.917,0.00,0.911,0.915,0.00,0.921,0.00,0.00,0.148,0.92,0.00,0.00,0.00,0.848,0.919,0.934,0.00,0.868,0.92,0.921,0.919,0.373,0.921,0.00,0.00,0.921,0.915,0.146,0.00,0.915,0.916,0.92,0.00,0.918,0.92,0.146,0.00,0.937,0.848,0.921,0.00,0.00,0.914,0.00,0.00,0.148,0.92,0.00,0.917,0.893,0.763,0.915,0.00,0.893,0.909,0.00,0.00,0.00,0.897,0.914
0.971,0.00,0.966,0.00,0.00,0.00,0.969,0.00,0.968,0.952,0.972,0.969,0.852,0.97,0.00,0.969,0.969,0.00,0.969,0.969,0.00,0.00,0.00,0.969,0.969,0.965,0.969,0.968,0.973,0.971,0.971,0.00,0.00,0.00,0.00,0.969,0.968,0.971,0.00,0.00,0.971,0.969,0.966,0.964,0.973,0.97,0.00,0.968,0.00,0.00,0.00,0.00,0.00,0.969,0.00,0.269,0.00,0.00,0.968,0.00,0.00,0.969,0.971,0.269,0.00,0.968,0.969,0.969,0.00,0.96,0.969,0.971,0.973,0.968,0.971,0.973,0.967,0.97,0.933,0.00,0.00,0.97,0.968,0.00,0.968,0.00,0.00,0.971
0.906,0.00,0.965,0.975,0.00,0.00,0.907,0.00,0.904,0.878,0.00,0.904,0.904,0.00,0.00,0.905,0.963,0.00,0.914,0.963,0.00,0.00,0.873,0.00,0.905,0.856,0.905,0.903,0.903,0.903,0.905,0.00,0.906,0.906,0.00,0.00,0.00,0.00,0.468,0.00,0.964,0.00,0.947,0.00,0.959,0.905,0.906,0.905,0.00,0.895,0.906,0.00,0.00,0.906,0.00,0.00,0.00,0.00,0.906,0.906,0.00,0.906,0.904,0.00,0.00,0.967,0.905,0.906,0.00,0.891,0.907,0.903,0.00,0.00,0.96,0.00,0.901,0.906,0.903,0.00,0.00,0.906,0.903,0.00,0.903,0.00,0.895,0.96
0.983,0.00,0.981,0.984,0.00,0.00,0.981,0.00,0.982,0.957,0.00,0.982,0.979,0.00,0.00,0.982,0.979,0.00,0.982,0.981,0.00,0.00,0.868,0.00,0.982,0.889,0.982,0.982,0.983,0.988,0.982,0.00,0.983,0.983,0.00,0.00,0.00,0.00,0.49,0.00,0.981,0.00,0.981,0.00,0.978,0.982,0.982,0.982,0.00,0.976,0.99,0.00,0.00,0.982,0.00,0.00,0.00,0.00,0.983,0.982,0.00,0.99,0.981,0.00,0.00,0.983,0.981,0.982,0.00,0.959,0.981,0.988,0.00,0.00,0.981,0.00,0.979,0.983,0.976,0.00,0.00,0.983,0.982,0.00,0.982,0.00,0.966,0.98
0.93,0.00,0.955,0.911,0.00,0.00,0.908,0.00,0.927,0.929,0.00,0.933,0.906,0.00,0.00,0.914,0.934,0.00,0.916,0.937,0.00,0.00,0.912,0.914,0.933,0.506,0.926,0.879,0.876,0.947,0.933,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.392,0.00,0.944,0.00,0.974,0.00,0.963,0.942,0.00,0.916,0.00,0.931,0.00,0.00,0.00,0.914,0.00,0.00,0.00,0.00,0.912,0.924,0.00,0.908,0.919,0.00,0.00,0.941,0.875,0.914,0.00,0.452,0.908,0.947,0.00,0.00,0.98,0.00,0.927,0.941,0.887,0.00,0.00,0.941,0.908,0.00,0.876,0.00,0.933,0.932
0.369,0.00,0.663,0.00,0.00,0.00,0.453,0.00,0.091,0.00,0.00,0.377,0.563,0.00,0.00,0.645,0.621,0.00,0.453,0.357,0.00,0.00,0.48,0.621,0.377,0.723,0.629,0.286,0.857,0.208,0.645,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.318,0.00,0.355,0.00,0.663,0.00,0.943,0.206,0.00,0.645,0.00,0.00,0.00,0.00,0.00,0.457,0.00,0.00,0.00,0.00,0.442,0.00,0.467,0.253,0.373,0.00,0.00,0.62,0.053,0.326,0.852,0.00,0.453,0.483,0.00,0.00,0.355,0.00,0.00,0.00,0.00,0.00,0.00,0.365,0.06,0.00,0.00,0.00,0.00,0.899
0.548,0.00,0.553,0.73,0.00,0.00,0.722,0.00,0.566,0.00,0.00,0.548,0.688,0.00,0.00,0.67,0.621,0.00,0.722,0.562,0.00,0.00,0.591,0.581,0.548,0.55,0.681,0.543,0.595,0.576,0.569,0.00,0.00,0.579,0.00,0.00,0.00,0.00,0.351,0.00,0.643,0.00,0.553,0.00,0.697,0.85,0.00,0.547,0.00,0.548,0.553,0.00,0.00,0.553,0.00,0.00,0.00,0.00,0.581,0.543,0.00,0.566,0.549,0.00,0.00,0.554,0.519,0.553,0.00,0.559,0.722,0.576,0.00,0.00,0.682,0.00,0.783,0.74,0.757,0.00,0.00,0.74,0.551,0.00,0.00,0.00,0.701,0.718
0.903,0.00,0.847,0.907,0.00,0.00,0.924,0.00,0.891,0.909,0.00,0.897,0.716,0.00,0.00,0.417,0.843,0.00,0.924,0.843,0.00,0.00,0.684,0.832,0.903,0.835,0.4,0.832,0.9,0.916,0.406,0.00,0.00,0.404,0.00,0.00,0.00,0.00,0.00,0.00,0.867,0.00,0.901,0.00,0.876,0.909,0.416,0.456,0.00,0.565,0.696,0.00,0.00,0.551,0.00,0.00,0.00,0.00,0.485,0.416,0.00,0.501,0.912,0.00,0.00,0.885,0.503,0.835,0.00,0.675,0.924,0.916,0.00,0.00,0.886,0.00,0.754,0.387,0.619,0.00,0.00,0.387,0.199,0.00,0.333,0.00,0.832,0.907
0.962,0.00,0.937,0.975,0.937,0.00,0.961,0.00,0.945,0.974,0.00,0.962,0.959,0.00,0.00,0.963,0.938,0.937,0.961,0.938,0.00,0.00,0.955,0.957,0.962,0.96,0.963,0.958,0.944,0.963,0.964,0.00,0.00,0.681,0.00,0.00,0.00,0.954,0.00,0.00,0.954,0.00,0.936,0.00,0.934,0.974,0.00,0.967,0.936,0.00,0.00,0.00,0.00,0.958,0.946,0.00,0.957,0.946,0.961,0.951,0.957,0.961,0.964,0.00,0.00,0.957,0.957,0.958,0.00,0.947,0.961,0.963,0.00,0.00,0.927,0.00,0.841,0.944,0.927,0.946,0.957,0.944,0.958,0.00,0.952,0.00,0.00,0.958
0.98,0.00,0.977,0.979,0.976,0.00,0.98,0.00,0.98,0.914,0.00,0.972,0.976,0.00,0.00,0.979,0.93,0.98,0.98,0.941,0.00,0.00,0.966,0.979,0.972,0.974,0.979,0.978,0.967,0.981,0.979,0.00,0.98,0.978,0.00,0.00,0.00,0.979,0.503,0.00,0.979,0.977,0.977,0.00,0.977,0.00,0.978,0.979,0.977,0.946,0.979,0.00,0.00,0.979,0.976,0.00,0.00,0.976,0.979,0.977,0.00,0.977,0.98,0.00,0.00,0.977,0.00,0.979,0.00,0.97,0.98,0.981,0.00,0.00,0.979,0.00,0.973,0.98,0.919,0.976,0.00,0.98,0.978,0.98,0.00,0.00,0.912,0.976
0.994,0.00,0.992,0.987,0.00,0.00,0.988,0.00,0.991,0.00,0.00,0.994,0.742,0.00,0.00,0.986,0.981,0.00,0.988,0.575,0.00,0.00,0.983,0.983,0.994,0.833,0.988,0.997,0.994,0.992,0.986,0.00,0.00,0.986,0.00,0.00,0.00,0.00,0.355,0.00,0.991,0.00,0.992,0.00,0.972,0.00,0.00,0.987,0.00,0.977,0.983,0.00,0.00,0.983,0.00,0.00,0.00,0.00,0.984,0.988,0.00,0.983,0.994,0.00,0.00,0.988,0.98,0.983,0.00,0.77,0.988,0.992,0.00,0.00,0.00,0.00,0.988,0.994,0.974,0.00,0.00,0.994,0.997,0.00,0.989,0.00,0.852,0.988
0.946,0.00,0.911,0.935,0.00,0.00,0.946,0.00,0.97,0.898,0.886,0.928,0.725,0.00,0.00,0.948,0.933,0.00,0.946,0.935,0.00,0.00,0.838,0.95,0.928,0.621,0.00,0.919,0.935,0.00,0.948,0.00,0.00,0.956,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.543,0.00,0.889,0.886,0.00,0.959,0.00,0.92,0.95,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.945,0.547,0.00,0.943,0.938,0.00,0.00,0.944,0.00,0.95,0.00,0.713,0.946,0.00,0.00,0.00,0.933,0.00,0.952,0.933,0.656,0.00,0.00,0.933,0.919,0.00,0.935,0.95,0.949,0.929
0.343,0.00,0.344,0.417,0.00,0.344,0.35,0.00,0.398,0.344,0.344,0.343,0.331,0.00,0.00,0.342,0.343,0.00,0.35,0.344,0.00,0.00,0.321,0.343,0.343,0.341,0.342,0.339,0.294,0.343,0.342,0.00,0.00,0.343,0.00,0.00,0.00,0.345,0.00,0.00,0.345,0.00,0.344,0.00,0.799,0.344,0.341,0.344,0.00,0.323,0.48,0.344,0.00,0.342,0.00,0.00,0.00,0.00,0.343,0.341,0.00,0.339,0.343,0.00,0.00,0.347,0.00,0.342,0.00,0.344,0.35,0.343,0.00,0.00,0.346,0.00,0.346,0.344,0.345,0.00,0.00,0.344,0.343,0.00,0.342,0.00,0.313,0.424
0.454,0.00,0.465,0.923,0.00,0.456,0.455,0.00,0.604,0.442,0.46,0.456,0.431,0.00,0.00,0.454,0.585,0.00,0.455,0.447,0.00,0.00,0.447,0.454,0.454,0.478,0.454,0.596,0.472,0.466,0.454,0.00,0.00,0.46,0.00,0.471,0.00,0.456,0.00,0.00,0.456,0.00,0.584,0.00,0.623,0.46,0.885,0.455,0.00,0.297,0.69,0.456,0.00,0.454,0.00,0.00,0.00,0.00,0.452,0.885,0.00,0.455,0.453,0.00,0.00,0.596,0.00,0.454,0.00,0.477,0.455,0.466,0.00,0.00,0.456,0.00,0.471,0.597,0.584,0.00,0.00,0.597,0.596,0.00,0.449,0.00,0.426,0.592
0.935,0.00,0.917,0.934,0.917,0.00,0.936,0.00,0.933,0.921,0.00,0.934,0.615,0.00,0.00,0.935,0.932,0.93,0.936,0.925,0.00,0.00,0.935,0.934,0.934,0.928,0.935,0.934,0.884,0.463,0.935,0.00,0.00,0.932,0.00,0.00,0.00,0.933,0.00,0.00,0.936,0.855,0.917,0.00,0.932,0.92,0.931,0.934,0.917,0.439,0.00,0.00,0.00,0.935,0.788,0.00,0.00,0.788,0.934,0.931,0.00,0.935,0.935,0.00,0.00,0.932,0.855,0.935,0.00,0.931,0.936,0.463,0.00,0.00,0.933,0.00,0.928,0.933,0.775,0.788,0.00,0.933,0.934,0.926,0.931,0.00,0.936,0.932
0.988,0.952,0.988,0.991,0.00,0.00,0.588,0.00,0.926,0.72,0.72,0.97,0.562,0.00,0.00,0.742,0.58,0.00,0.588,0.441,0.00,0.845,0.457,0.524,0.513,0.484,0.742,0.623,0.548,0.7,0.742,0.00,0.00,0.861,0.00,0.00,0.845,0.99,0.52,0.00,0.99,0.792,0.988,0.00,0.548,0.72,0.553,0.63,0.00,0.266,0.49,0.00,0.00,0.595,0.00,0.00,0.00,0.00,0.954,0.553,0.00,0.715,0.968,0.00,0.00,0.956,0.792,0.49,0.00,0.484,0.588,0.7,0.204,0.952,0.988,0.204,0.727,0.571,0.487,0.00,0.00,0.571,0.623,0.00,0.673,0.00,0.476,0.631
0.731,0.739,0.737,0.714,0.00,0.00,0.728,0.00,0.696,0.583,0.886,0.742,0.364,0.00,0.00,0.741,0.748,0.00,0.728,0.56,0.00,0.737,0.549,0.726,0.742,0.444,0.741,0.725,0.457,0.761,0.564,0.00,0.00,0.77,0.00,0.552,0.737,0.743,0.00,0.00,0.743,0.42,0.737,0.00,0.608,0.662,0.692,0.724,0.00,0.294,0.00,0.00,0.00,0.743,0.00,0.00,0.00,0.00,0.746,0.692,0.00,0.726,0.731,0.00,0.00,0.707,0.42,0.746,0.00,0.444,0.728,0.563,0.331,0.739,0.743,0.331,0.714,0.607,0.445,0.00,0.00,0.607,0.627,0.00,0.694,0.00,0.684,0.734
0.282,0.00,0.397,0.168,0.00,0.00,0.186,0.00,0.216,0.234,0.00,0.204,0.264,0.00,0.00,0.228,0.284,0.00,0.186,0.207,0.00,0.00,0.381,0.242,0.223,0.318,0.228,0.18,0.307,0.191,0.203,0.00,0.00,0.215,0.00,0.00,0.00,0.00,0.178,0.00,0.162,0.14,0.397,0.00,0.417,0.234,0.203,0.147,0.00,0.00,0.247,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.303,0.203,0.00,0.18,0.282,0.00,0.00,0.182,0.14,0.18,0.00,0.339,0.186,0.198,0.298,0.00,0.162,0.298,0.335,0.191,0.279,0.00,0.00,0.191,0.182,0.00,0.228,0.00,0.292,0.26
0.946,0.00,0.956,0.949,0.00,0.00,0.94,0.00,0.942,0.952,0.961,0.955,0.875,0.00,0.00,0.895,0.962,0.00,0.94,0.95,0.00,0.00,0.935,0.946,0.946,0.93,0.895,0.938,0.922,0.96,0.89,0.00,0.00,0.896,0.00,0.939,0.00,0.962,0.647,0.00,0.962,0.923,0.956,0.00,0.963,0.961,0.895,0.902,0.00,0.784,0.94,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.918,0.895,0.00,0.917,0.946,0.00,0.00,0.956,0.923,0.94,0.00,0.909,0.94,0.958,0.901,0.00,0.962,0.901,0.929,0.575,0.862,0.00,0.00,0.575,0.386,0.00,0.00,0.00,0.933,0.929
0.869,0.00,0.843,0.811,0.00,0.00,0.824,0.00,0.839,0.948,0.96,0.876,0.644,0.00,0.00,0.871,0.892,0.00,0.824,0.856,0.00,0.00,0.774,0.795,0.876,0.477,0.871,0.505,0.932,0.774,0.852,0.00,0.00,0.823,0.00,0.00,0.00,0.888,0.614,0.00,0.888,0.786,0.843,0.00,0.971,0.96,0.877,0.899,0.00,0.66,0.858,0.00,0.00,0.806,0.00,0.00,0.00,0.00,0.829,0.877,0.00,0.894,0.867,0.00,0.00,0.951,0.786,0.792,0.00,0.773,0.824,0.774,0.435,0.00,0.954,0.435,0.732,0.164,0.491,0.00,0.00,0.164,0.213,0.00,0.00,0.00,0.794,0.902
