,model,ptm,plddt_avg,confidence
38,unidist_uniref_sto_1.pdb,0.6339771751915405,84.33879526185808,0.25171694764206787
39,default_multimer_1.pdb,0.6251286501663083,84.57717002399197,0.2505418824151586
40,spec_pdb_1.pdb,0.6110106472404768,82.988239538368,0.2500552011377011
41,default_uniclust30_1.pdb,0.6213375560395238,85.0014512868016,0.24968758090242382
42,unidist_uniref_sto_2.pdb,0.6252369352299305,84.78798072911727,0.24896224872506328
43,default_pdb70_2.pdb,0.6188439099041761,83.65258027808628,0.24861038859780912
44,default_comp_0.pdb,0.6199082256215445,83.38088533640608,0.24847746135508283
45,spec_comp_0.pdb,0.619769785610506,83.67735052835752,0.24793542103125038
46,default_comp_1.pdb,0.6221869784182386,84.92422124318004,0.24681018983495387
47,iter_2_2.pdb,0.6234203713849586,85.02138286508014,0.2459278491678914
48,spec_pdb70_2.pdb,0.6117702370671376,82.91831170609643,0.2459140468793699
49,default_multimer_2.pdb,0.6216210524348273,84.86299109765199,0.24534374078329116
50,default_struct_2.pdb,0.6283038557682993,84.80156303216886,0.24513637425729756
51,default_uniref30_22_2.pdb,0.6243859077127325,84.62784492088208,0.24512532044711804
52,iter_1_2.pdb,0.6242946898250588,85.97265105419599,0.24490493367729205
53,default_comp_2.pdb,0.6204304818840654,84.74026028405684,0.24468931207124056
54,spec_comp_1.pdb,0.6160703808407001,83.49552621973693,0.2442180377312504
55,default_uniclust30_2.pdb,0.6228320387788235,84.53216955497058,0.24392168100252987
56,spec_iter_uniprot_sto_2.pdb,0.6221419836105155,85.34212624752405,0.24371456434371566
57,spec_iter_uniprot_sto_3.pdb,0.6234725234093512,84.7816712710681,0.24341622823838882
58,spec_pdb70_3.pdb,0.6204107299225323,84.54928685898433,0.24291988402161585
59,default_uniref30_22_3.pdb,0.6196951064014009,85.29556464532419,0.2427914220600043
60,default_uniref30_22_4.pdb,0.61816521219051,84.73608944930557,0.2426559601855996
61,default_struct_3.pdb,0.6195869888362778,85.49932439549895,0.241701599866102
62,spec_colab_iter_2.pdb,0.6176175446170862,84.87351763532175,0.24141038598335376
63,default_uniclust30_3.pdb,0.6255360932180194,85.35117702942715,0.24036476792949257
64,default_comp_3.pdb,0.6156581930359621,84.24998732890715,0.24031435831468145
65,spec_comp_2.pdb,0.6151248655327457,83.80528976225453,0.24009670896546637
66,spec_struct_2.pdb,0.6177506221210507,85.45724702845759,0.23985750223945673
67,spec_struct_3.pdb,0.6173498559060676,85.46303708440009,0.2396925673497316
68,default_comp_4.pdb,0.6142638181441015,83.53393173159154,0.23965094993100539
69,spec_pdb_2.pdb,0.6111628900425344,84.13603916694736,0.23964472791466535
70,spec_iter_uniprot_sto_4.pdb,0.6207046033447796,84.89359237590705,0.2392718935311996
71,spec_iter_uniref_sto_0.pdb,0.6204171770151325,85.07177318240143,0.23888847814670938
72,default_multimer_3.pdb,0.6207271350599605,85.11656751054716,0.23880883719875967
73,spec_colab_iter_3.pdb,0.6189551951899234,85.21521979667078,0.23834120039967902
74,unidist_uniprot_sto_2.pdb,0.6222770239023034,85.0883624137102,0.23815040638263354
75,spec_iter_uniref_sto_1.pdb,0.6208351389124759,85.13019131980829,0.2380267050972535
76,spec_pdb70_4.pdb,0.6175143495238821,84.42833439206856,0.23782885819747052
77,spec_iter_uniref_a3m_2.pdb,0.6176951091977237,85.0783892262114,0.23683582865183112
78,spec_iter_uniref_a3m_3.pdb,0.6191817138176345,85.10661600136034,0.23648248143158723
79,default_multimer_4.pdb,0.6189654030221262,85.51436113593243,0.23646724537645894
80,unidist_uniprot_sto_3.pdb,0.621520764893126,84.18740740649433,0.23633548165675633
81,default_pdb70_3.pdb,0.6144933844242908,82.96605166437736,0.23592932511636452
82,iter_2_3.pdb,0.6241790883986476,85.62491414163829,0.23584754930433277
83,spec_iter_uniref_a3m_4.pdb,0.6185955234144567,84.68368437129472,0.2358435596580195
84,spec_pdb_3.pdb,0.6078373394752823,83.11857224302548,0.23578133985092803
85,default_uniclust30_4.pdb,0.6197957148548532,85.50703969565593,0.23573108415596822
86,iter_1_3.pdb,0.6203154925003052,85.71835305396579,0.23566994673995972
87,unidist_uniref_sto_3.pdb,0.6190839941067268,84.90596329411672,0.2350147472771559
88,spec_iter_uniref_sto_2.pdb,0.6210289204405447,84.10864715369328,0.23462114739987655
89,uniclust_oxmatch_a3m_1.pdb,0.618248760639466,85.416478546013,0.23426319359517836
90,spec_iter_uniref_sto_3.pdb,0.618516004870747,84.86401997720776,0.23365722433535546
91,default_pdb70_4.pdb,0.612546580340184,83.1510556354864,0.23363087521110323
92,spec_iter_uniref_sto_4.pdb,0.6159183982614422,83.70146845147536,0.23314223296649744
93,spec_colab_iter_4.pdb,0.6154681910564543,84.82246777815665,0.2329742405710626
94,unidist_uniref_sto_4.pdb,0.6174744309663437,83.70324347646907,0.23267102125644012
95,uniclust_oxmatch_a3m_2.pdb,0.620478939193453,84.08491710904772,0.23263101799845012
96,uniclust_oxmatch_a3m_3.pdb,0.6168190703391195,84.66330803487044,0.23237541646955734
97,spec_comp_3.pdb,0.6175210594373232,83.51119769316655,0.2321445488778211
98,uniclust_oxmatch_a3m_4.pdb,0.6142451695126392,84.0521494774631,0.23161071402871802
99,default_pdb_2.pdb,0.6116633952045956,82.6742732271139,0.23160136819649774
100,unidist_uniprot_sto_4.pdb,0.6190094291040718,85.13837169659932,0.23148668882984758
101,spec_comp_4.pdb,0.6140418273007802,83.4412382307746,0.23146038496088847
102,spec_pdb_4.pdb,0.6124692802122149,84.34871068087396,0.23097690829616613
103,default_pdb_3.pdb,0.6130981742514896,83.29281301866078,0.23069168923643685
104,default_pdb_4.pdb,0.6140342708016991,82.98916225248549,0.22985805979541063
105,iter_2_4.pdb,0.6191454023287901,85.32382027620064,0.22956698119970578
106,spec_struct_4.pdb,0.6192871716543131,85.50920618398669,0.2291396933182894
107,default_struct_4.pdb,0.6173697643083218,85.61443850770785,0.22900425061785945
108,default_af_4.pdb,0.629200025902433,88.17768227443632,0.22890677144254107
109,iter_1_4.pdb,0.6174089786464294,85.21924118422581,0.2247958278070752
