,target,elo_max_tm,deep_max_tm,default_af_max_tm,default_comp_max_tm,default_img_max_tm,default_mul_newest_max_tm,default_multimer_max_tm,default_pdb_max_tm,default_pdb70_max_tm,default_struct_max_tm,default_uniclust30_max_tm,default_uniref30_max_tm,default_uniref30_22_max_tm,img_multimer_max_tm,iter_1_max_tm,iter_1_old_max_tm,iter_2_max_tm,iter_2_old_max_tm,iter_3_max_tm,iter_4_max_tm,iter_5_max_tm,lewis_max_tm,pdb_iter_uniref_a3m_max_tm,qa_max_tm,spec_af_max_tm,spec_colab_iter_max_tm,spec_comp_max_tm,spec_iter_uniprot_sto_max_tm,spec_iter_uniref_a3m_max_tm,spec_iter_uniref_sto_max_tm,spec_pdb_max_tm,spec_pdb70_max_tm,spec_struct_max_tm,str_af_max_tm,str_comp_max_tm,str_iter_uniprot_sto_max_tm,str_iter_uniref_sto_max_tm,str_pdb_max_tm,str_pdb70_max_tm,str_struct_max_tm,uniclust_oxmatch_a3m_max_tm,unidist_uniprot_sto_max_tm,unidist_uniref_sto_max_tm
20,T1121,0.55175, , , , , ,0.68681, ,0.68747,0.67005,0.57457, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,T1123,0.82501, ,0.69905,0.89219, , ,0.85263,0.89681,0.9032,0.89925,0.76181, , , ,0.87982,0.89306, , , , , , , , ,0.80445, ,0.38908,0.86656,0.3935,0.83386,0.40152,0.35466,0.89761, , , , , , , ,0.31709, , 
22,T1124,0.95766, ,0.95631,0.93452, , ,0.95976,0.94244,0.93778,0.91965,0.95423, , , ,0.94343,0.94455, , , , , , ,0.90842, ,0.95582, ,0.94389,0.95045,0.9468,0.93228,0.94289,0.90565,0.93631, , , , , , , ,0.89735, , 
23,T1127,0.9775, ,0.97026,0.97731, , ,0.97764,0.97759,0.97838,0.97751,0.97585, , , ,0.97614,0.97655, , , , , , , , ,0.97043, ,0.94876,0.97497,0.91923,0.97551,0.93866,0.9404,0.95134, , , , , , , ,0.94526, , 
24,T1132,0.87237, ,0.99399,0.92924, , ,0.92791,0.925,0.87496,0.92952,0.87492, ,0.92361, , ,0.84634, , , , , ,0.876,0.88719, ,0.99416, ,0.52221,0.87714,0.53329,0.87754,0.52479,0.51942,0.54187, , , , , , , ,0.55123, , 
25,T1153,0.95052, ,0.92046,0.94712, , ,0.96692,0.95594,0.94951,0.9502,0.95065, ,0.96467, ,0.96421,0.48627, ,0.48458, , , , ,0.49311, ,0.9288, ,0.48718,0.93941,0.48964,0.94599,0.48892,0.4844,0.49175, , , , , , , ,0.8832, , 
26,T1160,0.34243, ,0.34676,0.34154, ,0.34253,0.34276,0.33991,0.34201,0.3433,0.34144, ,0.34266, ,0.34547,0.34524, ,0.34446, , , , , , ,0.34449, ,0.34165,0.34038,0.34272,0.34117,0.34144,0.34217,0.34181, , , , , , , ,0.34158, , 
27,T1161,0.45422, ,0.45445,0.44977, ,0.45442,0.45484,0.45199,0.45357,0.45106,0.45676, ,0.45237, ,0.45464,0.45386, ,0.45467, , , , , , ,0.44782, ,0.45068,0.45838,0.44669,0.45901,0.44891,0.44968,0.45022, , , , , , , ,0.59115, , 
28,T1170,0.93498, , , , ,0.93367,0.93344, , , , , ,0.93332, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,T1173,0.48998, ,0.59348,0.56488, ,0.60903,0.59157,0.4152,0.49446,0.91702,0.67919, ,0.59076, ,0.96807,0.97304, ,0.61055, , , , , , ,0.58904, ,0.48782,0.45144,0.4682,0.45591,0.47361,0.516,0.52179, , , , , , , ,0.53611, , 
30,T1174,0.74603, ,0.67604, , ,0.73701,0.71074, , ,0.60433,0.72986, ,0.74186, , ,0.70789, , , , , , , , ,0.73337, , ,0.63601,0.56734,0.74675, , ,0.61253, , , , , , , ,0.68088, , 
31,T1176,0.15753,0.21607, , , ,0.2262,0.18469, , , ,0.17007, ,0.2495, , , , , , , , ,0.16714, ,0.20475, , , , , , , , , , , , , , , , , , , 
32,T1178,0.94214, ,0.83486,0.93774,0.93979,0.94722,0.94377,0.9272,0.92081,0.94632,0.90504, ,0.95212,0.91825,0.94402,0.93002, ,0.94002, , , , , , ,0.84023, ,0.95324,0.87742,0.95599,0.90739,0.94997,0.94597,0.95713, , , , , , , ,0.90666, , 
33,T1179,0.79194, ,0.79206,0.77988,0.80205,0.8674,0.85914,0.75192,0.74357,0.78594,0.89723, ,0.87144,0.88961,0.81679,0.87228, ,0.78586, , , , , , ,0.79223, ,0.85504,0.26493,0.81162,0.3294,0.82521,0.83383,0.82228, , , , , , , ,0.68021, , 
34,T1181,0.79041, , , , ,0.85413,0.81821, , , , , ,0.78911, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,T1187,0.49526, ,0.50701,0.5085, ,0.49587,0.51581,0.51522,0.52201,0.50737,0.51574, ,0.50211, ,0.51674,0.49294, ,0.4982, , , ,0.97714, , ,0.81511, ,0.50729,0.4899,0.50208,0.49928,0.64191,0.64663,0.66864, , , , , , , ,0.56009, , 
